date,lottey-number,win-amount
2020-07-10,1218,"$5,000"
2020-07-09,3372,"$5,000"
2020-07-08,2398,"$5,000"
2020-07-07,0497,"$5,000"
2020-07-06,8305,"$5,000"
2020-07-05,4996,"$5,000"
2020-07-04,5209,"$5,000"
2020-07-03,7655,"$5,000"
2020-07-02,0559,"$5,000"
2020-07-01,6650,"$5,000"
2020-06-30,0408,"$5,000"
2020-06-29,9508,"$5,000"
2020-06-28,1389,"$5,000"
2020-06-27,8702,"$5,000"
2020-06-26,6828,"$5,000"
2020-06-25,0591,"$5,000"
2020-06-24,7132,"$5,000"
2020-06-23,6613,"$5,000"
2020-06-22,6115,"$5,000"
2020-06-21,0470,"$5,000"
2020-06-20,8127,"$5,000"
2020-06-19,0792,"$5,000"
2020-06-18,7346,"$5,000"
2020-06-17,2795,"$5,000"
2020-06-16,8930,"$5,000"
2020-06-15,8627,"$5,000"
2020-06-14,8844,"$5,000"
2020-06-13,3465,"$5,000"
2020-06-12,2914,"$5,000"
2020-06-11,3897,"$5,000"
2020-06-10,5825,"$5,000"
2020-06-09,1377,"$5,000"
2020-06-08,9361,"$5,000"
2020-06-07,2936,"$5,000"
2020-06-06,2002,"$5,000"
2020-06-05,0241,"$5,000"
2020-06-04,2164,"$5,000"
2020-06-03,5492,"$5,000"
2020-06-02,2832,"$5,000"
2020-06-01,6552,"$5,000"
2020-05-31,6368,"$5,000"
2020-05-30,0244,"$5,000"
2020-05-29,3458,"$5,000"
2020-05-28,6840,"$5,000"
2020-05-27,6587,"$5,000"
2020-05-26,8438,"$5,000"
2020-05-25,7628,"$5,000"
2020-05-24,7862,"$5,000"
2020-05-23,6045,"$5,000"
